sym_idx,demod_I,demod_Q,locked
1173,-688,-2000,1
1174,1442,1456,1
1175,2008,-589,1
1176,726,-1916,1
1177,-1509,1383,1
1178,1449,1448,1
1179,-1963,572,1
1180,-1497,1385,1
1181,-1971,560,1
1182,-1509,1382,1
1183,522,-642,1
1184,1462,-1424,1
1185,604,2034,1
1186,1443,-1451,1
1187,674,-578,1
1188,-2016,620,1
1189,1486,-1408,1
1190,1895,674,1
1191,613,1942,1
1192,-598,-662,1
1193,-746,-1918,1
1194,-678,-626,1
1195,672,1942,1
1196,650,2010,1
1197,1999,-680,1
1198,1977,645,1
1199,620,693,1
1200,-1331,-1581,1
1201,-613,652,1
1202,1911,688,1
1203,735,-1921,1
1204,2014,720,1
1205,595,617,1
1206,567,1967,1
1207,-1401,-1520,1
1208,-656,-664,1
1209,-571,1916,1
1210,1587,-1346,1
1211,-612,729,1
1212,622,-685,1
1213,-659,-665,1
1214,-1392,-1545,1
1215,753,-2005,1
1216,598,593,1
1217,1418,1521,1
1218,718,1931,1
1219,1904,-604,1
1220,-1554,1392,1
1221,-680,589,1
1222,-667,-1964,1
1223,639,627,1
1224,1946,-579,1
1225,1950,686,1
1226,1963,-622,1
1227,576,-607,1
1228,-665,599,1
1229,1928,-651,1
1230,667,-705,1
1231,-1354,-1659,1
1232,-695,1934,1
1233,-597,-1975,1
1234,1635,-1377,1
1235,-691,564,1
1236,1975,640,1
1237,1929,-626,1
1238,584,1957,1
1239,1599,-1429,1
1240,637,1952,1
1241,-1915,-677,1
1242,-1401,-1663,1
1243,1953,-626,1
1244,751,1900,1
1245,1941,-641,1
1246,1622,-1434,1
1247,-1425,-1677,1
1248,-636,1872,1
1249,1856,-683,1
1250,1960,671,1
1251,-1935,571,1
1252,-1914,-751,1
1253,1482,1600,1
1254,1948,592,1
1255,654,626,1
1256,1421,1702,1
1257,-1497,-1623,1
1258,1961,-630,1
1259,1489,1634,1
1260,1957,-617,1
1261,-578,706,1
1262,-628,1959,1
1263,-625,602,1
1264,1883,-611,1
1265,-1471,-1732,1
1266,639,550,1
1267,-631,597,1
1268,-1741,1493,1
1269,1955,621,1
1270,-1890,-758,1
1271,622,-1958,1
1272,-1766,1510,1
1273,-627,-1981,1
1274,1896,-713,1
1275,-1939,-661,1
1276,-1987,700,1
1277,-1923,-608,1
1278,-635,1944,1
1279,618,-618,1
1280,-655,1936,1
1281,650,2025,1
1282,-1897,719,1
1283,1986,-661,1
1284,1854,-1544,1
1285,-1929,-688,1
1286,-684,-667,1
1287,-1727,1614,1
1288,-1932,-590,1
1289,-1953,626,1
1290,-707,-646,1
1291,-732,1913,1
1292,-1826,1608,1
1293,-1611,-1857,1
1294,686,707,1
1295,-1940,556,1
1296,-1912,1593,1
1297,-703,-1949,1
1298,-649,572,1
1299,613,-637,1
1300,-1942,1621,1
1301,627,664,1
1302,-721,-641,1
1303,-654,667,1
1304,1955,631,1
1305,-1958,-573,1
1306,1919,-1667,1
1307,1880,541,1
1308,-714,-1784,1
1309,-1959,712,1
1310,-1717,-1866,1
1311,-1908,-503,1
1312,568,-1878,1
1313,-517,1943,1
1314,-730,-2002,1
1315,-625,1911,1
